Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
182.55	0.10000	7.7429	0.12915	-41.756	-41.743	-154.55	152.77	199.54	1666.2	-0.51764	3916.8	0.15697	liquid
182.86	0.10000	7.7402	0.12920	-41.693	-41.680	-154.21	152.77	199.54	1664.6	-0.51760	3860.8	0.15689	liquid
183.18	0.10000	7.7375	0.12924	-41.630	-41.618	-153.86	152.78	199.54	1663.1	-0.51756	3806.1	0.15680	liquid
183.49	0.10000	7.7349	0.12928	-41.568	-41.555	-153.52	152.78	199.54	1661.6	-0.51752	3752.7	0.15672	liquid
183.81	0.10000	7.7322	0.12933	-41.505	-41.492	-153.18	152.79	199.54	1660.1	-0.51748	3700.6	0.15663	liquid
184.12	0.10000	7.7295	0.12937	-41.442	-41.430	-152.84	152.79	199.54	1658.6	-0.51743	3649.6	0.15655	liquid
184.43	0.10000	7.7269	0.12942	-41.380	-41.367	-152.50	152.80	199.54	1657.0	-0.51739	3599.9	0.15646	liquid
184.75	0.10000	7.7242	0.12946	-41.317	-41.304	-152.16	152.81	199.54	1655.5	-0.51734	3551.3	0.15637	liquid
185.06	0.10000	7.7216	0.12951	-41.254	-41.241	-151.82	152.81	199.54	1654.0	-0.51729	3503.7	0.15629	liquid
185.38	0.10000	7.7189	0.12955	-41.192	-41.179	-151.48	152.82	199.55	1652.5	-0.51724	3457.3	0.15620	liquid
185.69	0.10000	7.7162	0.12960	-41.129	-41.116	-151.15	152.83	199.55	1651.0	-0.51719	3411.9	0.15612	liquid
186.00	0.10000	7.7136	0.12964	-41.066	-41.053	-150.81	152.84	199.55	1649.5	-0.51714	3367.4	0.15603	liquid
186.32	0.10000	7.7109	0.12969	-41.004	-40.991	-150.47	152.85	199.56	1647.9	-0.51708	3324.0	0.15594	liquid
186.63	0.10000	7.7083	0.12973	-40.941	-40.928	-150.14	152.86	199.56	1646.4	-0.51703	3281.5	0.15586	liquid
